A_rows	A_columns	B_columns	gpu_used	cpu_threads	time
50	50	50	True	False	5.028
50	50	50	False	1	0.16
50	50	50	False	2	0.093
50	50	50	False	3	0.074
50	50	50	False	4	0.066
50	50	50	False	5	0.065
50	50	50	False	6	0.048
50	50	50	False	7	0.035
50	50	50	False	8	0.033
50	50	50	False	9	0.037
50	50	50	False	10	0.054
50	50	50	False	11	0.051
50	50	50	False	12	0.056
50	50	50	False	13	0.044
50	50	50	False	14	0.048
50	50	50	False	15	0.046
50	50	50	False	16	0.043
100	100	100	True	False	4.356
100	100	100	False	1	1.249
100	100	100	False	2	0.611
100	100	100	False	3	0.392
100	100	100	False	4	0.336
100	100	100	False	5	0.274
100	100	100	False	6	0.243
100	100	100	False	7	0.169
100	100	100	False	8	0.152
100	100	100	False	9	0.087
100	100	100	False	10	0.179
100	100	100	False	11	0.181
100	100	100	False	12	0.054
100	100	100	False	13	0.109
100	100	100	False	14	0.107
100	100	100	False	15	0.074
100	100	100	False	16	0.086
150	150	150	True	False	2.981
150	150	150	False	1	3.917
150	150	150	False	2	2.072
150	150	150	False	3	1.323
150	150	150	False	4	0.975
150	150	150	False	5	0.812
150	150	150	False	6	0.755
150	150	150	False	7	0.551
150	150	150	False	8	0.545
150	150	150	False	9	0.468
150	150	150	False	10	0.497
150	150	150	False	11	0.351
150	150	150	False	12	0.276
150	150	150	False	13	0.253
150	150	150	False	14	0.265
150	150	150	False	15	0.375
150	150	150	False	16	0.39
200	200	200	True	False	3.023
200	200	200	False	1	9.642
200	200	200	False	2	4.572
200	200	200	False	3	3.094
200	200	200	False	4	2.44
200	200	200	False	5	2.03
200	200	200	False	6	1.533
200	200	200	False	7	1.351
200	200	200	False	8	1.334
200	200	200	False	9	0.904
200	200	200	False	10	1.122
200	200	200	False	11	0.602
200	200	200	False	12	0.767
200	200	200	False	13	0.497
200	200	200	False	14	0.336
200	200	200	False	15	0.297
200	200	200	False	16	0.376
250	250	250	True	False	3.093
250	250	250	False	1	17.711
250	250	250	False	2	8.936
250	250	250	False	3	5.943
250	250	250	False	4	4.666
250	250	250	False	5	3.725
250	250	250	False	6	3.168
250	250	250	False	7	2.671
250	250	250	False	8	2.118
250	250	250	False	9	2.301
250	250	250	False	10	2.098
250	250	250	False	11	1.778
250	250	250	False	12	1.724
250	250	250	False	13	0.923
250	250	250	False	14	1.581
250	250	250	False	15	1.204
250	250	250	False	16	1.055
300	300	300	True	False	3.075
300	300	300	False	1	30.7
300	300	300	False	2	15.384
300	300	300	False	3	10.315
300	300	300	False	4	7.728
300	300	300	False	5	6.669
300	300	300	False	6	5.486
300	300	300	False	7	4.69
300	300	300	False	8	3.972
300	300	300	False	9	3.371
300	300	300	False	10	3.679
300	300	300	False	11	2.541
300	300	300	False	12	3.174
300	300	300	False	13	1.642
300	300	300	False	14	1.889
300	300	300	False	15	2.751
300	300	300	False	16	2.127
350	350	350	True	False	3.11
350	350	350	False	1	48.566
350	350	350	False	2	24.172
350	350	350	False	3	16.487
350	350	350	False	4	12.017
350	350	350	False	5	10.49
350	350	350	False	6	9.78
350	350	350	False	7	7.698
350	350	350	False	8	6.793
350	350	350	False	9	6.203
350	350	350	False	10	6.154
350	350	350	False	11	5.087
350	350	350	False	12	3.638
350	350	350	False	13	4.956
350	350	350	False	14	4.53
350	350	350	False	15	2.635
350	350	350	False	16	3.783
400	400	400	True	False	3.182
=>> PBS: job killed: walltime 915 exceeded limit 900
