A_rows	A_columns	B_columns	gpu_used	cpu_threads	time
400	400	400	True	False	3.225
400	400	400	False	1	73.438
400	400	400	False	2	36.787
400	400	400	False	3	23.862
400	400	400	False	4	18.648
400	400	400	False	5	15.076
400	400	400	False	6	12.714
400	400	400	False	7	10.351
400	400	400	False	8	10.373
400	400	400	False	9	8.457
400	400	400	False	10	9.051
400	400	400	False	11	6.742
400	400	400	False	12	5.847
400	400	400	False	13	6.551
400	400	400	False	14	5.453
400	400	400	False	15	5.64
400	400	400	False	16	6.131
